Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
p3_out	t3	20	11	1	9.20544	1	2	((((1:0.710296,20:0.710296):0.0140423,(((4:0.372382,((17:0.0943054,(2:0.0808993,(7:0.0624887,11:0.0624887):0.0184104):0.0134064):0.0534617,13:0.147767):0.224615):0.0447573,(6:0.27171,19:0.27171):0.145429):0.0664305,14:0.48357):0.240769):0.244432,((5:0.201246,16:0.201246):0.474014,(12:0.492214,(18:0.471385,3:0.471385):0.0208284):0.183047):0.293512):0.0312267,((15:0.411749,(9:0.113913,8:0.113913):0.297838):0.0942554,10:0.506005):0.493993);
p3_out	t3	20	12	1	10.2666	1	2	((9:0.815387,((((2:0.181238,18:0.181238):0.109342,3:0.29058):0.27922,19:0.569799):0.182759,((14:0.335729,(12:0.19044,(16:0.0602737,15:0.0602737):0.130166):0.145289):0.314767,17:0.650496):0.102062):0.0628267):0.184613,((20:0.608917,(13:0.317932,5:0.317932):0.290985):0.221197,(((10:0.402611,(7:0.0163908,8:0.0163908):0.38622):0.131411,(11:0.192973,4:0.192973):0.341049):0.294673,(1:0.688417,6:0.688417):0.140279):0.00141884):0.169885);
p3_out	t3	20	13	1	9.80243	1	2	(10:0.999998,(((((((2:0.22983,1:0.22983):0.0693939,19:0.299226):0.0767263,11:0.375949):0.0381146,12:0.414067):0.502605,((5:0.192826,6:0.192826):0.102948,8:0.295776):0.620896):0.00106004,(4:0.882786,((16:0.0373993,7:0.0373993):0.0147501,14:0.0521496):0.830636):0.0349423):0.0618184,((15:0.579693,3:0.579693):0.28006,((13:0.113564,9:0.113564):0.264339,((17:0.0797807,20:0.0797807):0.118005,18:0.197785):0.180117):0.481849):0.119795):0.0204503);
p3_out	t3	20	14	1	12.07	1	2	((((2:0.794699,((17:0.389894,9:0.389894):0.24897,(16:0.480955,(1:0.157524,15:0.157524):0.323432):0.157908):0.155836):0.0285749,((20:0.258068,3:0.258068):0.528955,((8:0.316303,5:0.316303):0.458082,12:0.774384):0.0126377):0.0362529):0.0774184,((13:0.222081,4:0.222081):0.589802,((10:0.453173,11:0.453173):0.186272,(18:0.409802,(6:0.408579,7:0.408579):0.00122077):0.229642):0.172439):0.0888105):0.0993058,(19:0.803358,14:0.803358):0.196641);
p3_out	t3	20	15	1	9.04273	1	2	((((12:0.253133,((10:0.102455,(9:0.0970495,14:0.0970495):0.00540505):0.0717228,15:0.174177):0.078956):0.311714,20:0.564849):0.0373514,(11:0.439276,19:0.439276):0.162925):0.397799,((3:0.657046,((17:0.047152,5:0.047152):0.475725,((8:0.435284,((7:0.318782,(18:0.178321,1:0.178321):0.140461):0.0205771,16:0.339361):0.0959254):0.0761122,2:0.511399):0.0114811):0.134167):0.332123,(4:0.45549,(13:0.354711,6:0.354711):0.100779):0.533678):0.0108302);
p3_out	t3	20	16	1	9.51214	1	2	((17:0.327879,((18:0.177908,(12:0.021475,20:0.021475):0.156433):0.0510899,(10:0.15468,3:0.15468):0.0743176):0.0988808):0.67212,(4:0.903825,((((11:0.39407,7:0.39407):0.372111,(((19:0.15253,5:0.15253):0.196551,(16:0.224243,13:0.224243):0.124837):0.0745734,8:0.423655):0.342526):0.0908575,(6:0.60654,(14:0.233442,15:0.233442):0.3731):0.250496):0.0154621,((2:0.0939816,1:0.0939816):0.630137,9:0.72412):0.148381):0.0313255):0.0961734);
p3_out	t3	20	17	1	10.2377	1	2	(((4:0.672593,(10:0.308305,(18:0.24951,((16:0.0533376,7:0.0533376):0.0195929,12:0.0729305):0.17658):0.0587955):0.364288):0.208156,(20:0.153346,14:0.153346):0.727405):0.11925,(((9:0.0443276,11:0.0443276):0.0528867,2:0.0972146):0.827087,((6:0.743584,(17:0.674787,(13:0.662228,(((8:0.305461,3:0.305461):0.140842,(1:0.405673,5:0.405673):0.0406314):0.195873,15:0.642178):0.0200514):0.012559):0.0687946):0.157248,19:0.900831):0.0234712):0.0756967);
p3_out	t3	20	18	1	8.75323	1	2	((((17:0.546922,(((7:0.018759,13:0.018759):0.0836987,12:0.102458):0.297626,(14:0.0210311,8:0.0210311):0.379052):0.14684):0.071706,((19:0.235939,15:0.235939):0.338564,(3:0.42269,(20:0.406876,((6:0.0617028,1:0.0617028):0.285113,(18:0.24362,2:0.24362):0.103195):0.0600614):0.0158124):0.151813):0.0441258):0.133452,5:0.752081):0.247918,(((4:0.403908,10:0.403908):0.0100117,(9:0.390352,11:0.390352):0.0235684):0.37902,16:0.79294):0.20706);
p3_out	t3	20	19	1	8.47511	1	2	(((3:0.754302,19:0.754302):0.165423,((1:0.226019,(8:0.127718,(2:0.121982,16:0.121982):0.00573587):0.0983016):0.465873,9:0.691893):0.227832):0.080274,((((4:0.0751984,17:0.0751984):0.0486138,12:0.123812):0.288429,(11:0.229435,13:0.229435):0.182807):0.417899,(7:0.627331,((((18:0.0339176,15:0.0339176):0.0125675,10:0.0464849):0.19508,6:0.241565):0.328517,(14:0.266193,(20:0.17707,5:0.17707):0.0891228):0.303891):0.0572479):0.202808):0.169859);
p3_out	t3	20	20	1	8.97174	1	2	((((6:0.00437296,10:0.00437296):0.668437,15:0.672808):0.0732855,20:0.746096):0.253904,(((((14:0.00925863,9:0.00925863):0.0522896,4:0.0615481):0.486726,(((13:0.110074,5:0.110074):0.32582,((3:0.137988,18:0.137988):0.0408802,11:0.178869):0.257025):0.00867366,(19:0.326223,12:0.326223):0.118343):0.103705):0.00911599,((8:0.348191,7:0.348191):0.108085,17:0.456276):0.101113):0.273532,((1:0.436964,16:0.436964):0.229064,2:0.666028):0.164892):0.169077);
p3_out	t3	20	21	1	11.2678	1	2	((2:0.988184,(16:0.987702,((6:0.0953905,20:0.0953905):0.292842,5:0.388232):0.59947):0.000483405):0.0118139,(((4:0.253039,7:0.253039):0.58484,((3:0.609899,13:0.609899):0.0604867,((1:0.586955,((10:0.396794,9:0.396794):0.0661399,(11:0.165017,14:0.165017):0.297917):0.12402):0.0121715,(15:0.0889502,18:0.0889502):0.510176):0.0712602):0.167494):0.141552,(((19:0.074077,12:0.074077):0.156081,8:0.230158):0.623452,17:0.853611):0.125822):0.0205668);
